time_iso8601,stars_cumulative
2021-02-15 00:00:00+00:00,508
2021-02-16 00:00:00+00:00,509
2021-02-19 00:00:00+00:00,510
2021-03-11 00:00:00+00:00,511
2021-03-15 00:00:00+00:00,512
2021-03-21 00:00:00+00:00,513
2021-03-26 00:00:00+00:00,514
2021-03-29 00:00:00+00:00,515
2021-04-01 00:00:00+00:00,516
2021-04-08 00:00:00+00:00,517
2021-04-09 00:00:00+00:00,519
2021-04-10 00:00:00+00:00,520
2021-04-18 00:00:00+00:00,521
2021-04-20 00:00:00+00:00,522
2021-04-23 00:00:00+00:00,524
2021-04-26 00:00:00+00:00,525
2021-04-30 00:00:00+00:00,526
2021-05-04 00:00:00+00:00,527
2021-05-12 00:00:00+00:00,529
2021-05-21 00:00:00+00:00,530
2021-05-23 00:00:00+00:00,531
2021-05-24 00:00:00+00:00,532
2021-06-03 00:00:00+00:00,533
2021-06-05 00:00:00+00:00,534
2021-06-07 00:00:00+00:00,536
2021-06-14 00:00:00+00:00,537
2021-06-20 00:00:00+00:00,538
2021-06-22 00:00:00+00:00,540
2021-06-23 00:00:00+00:00,542
2021-06-27 00:00:00+00:00,543
2021-06-29 00:00:00+00:00,544
2021-06-30 00:00:00+00:00,545
2021-07-01 00:00:00+00:00,546
2021-07-04 00:00:00+00:00,547
2021-07-06 00:00:00+00:00,548
2021-07-07 00:00:00+00:00,549
2021-07-08 00:00:00+00:00,550
2021-07-09 00:00:00+00:00,551
2021-07-13 00:00:00+00:00,552
2021-07-15 00:00:00+00:00,553
2021-07-17 00:00:00+00:00,554
2021-07-18 00:00:00+00:00,555
2021-07-20 00:00:00+00:00,556
2021-07-22 00:00:00+00:00,557
2021-07-26 00:00:00+00:00,558
2021-07-27 00:00:00+00:00,559
2021-07-28 00:00:00+00:00,560
2021-08-02 00:00:00+00:00,561
2021-08-04 00:00:00+00:00,563
2021-08-12 00:00:00+00:00,564
2021-08-16 00:00:00+00:00,565
2021-08-19 00:00:00+00:00,566
2021-09-14 00:00:00+00:00,567
2021-09-15 00:00:00+00:00,569
2021-09-21 00:00:00+00:00,570
2021-09-30 00:00:00+00:00,571
2021-10-05 00:00:00+00:00,572
2021-10-06 00:00:00+00:00,573
2021-10-22 00:00:00+00:00,574
2021-10-24 00:00:00+00:00,575
2021-10-25 00:00:00+00:00,577
2021-10-28 00:00:00+00:00,578
2021-11-01 00:00:00+00:00,580
2021-11-02 00:00:00+00:00,581
2021-11-04 00:00:00+00:00,582
2021-11-09 00:00:00+00:00,583
2021-11-18 00:00:00+00:00,584
2021-11-20 00:00:00+00:00,585
2021-11-22 00:00:00+00:00,587
2021-12-06 00:00:00+00:00,589
2021-12-20 00:00:00+00:00,590
2021-12-22 00:00:00+00:00,591
2021-12-25 00:00:00+00:00,592
2022-01-01 00:00:00+00:00,593
2022-01-10 00:00:00+00:00,594
2022-01-14 00:00:00+00:00,595
2022-01-17 00:00:00+00:00,596
2022-01-19 00:00:00+00:00,597
2022-01-24 00:00:00+00:00,598
2022-01-25 00:00:00+00:00,599
2022-01-26 00:00:00+00:00,600
2022-02-11 00:00:00+00:00,601
2022-02-12 00:00:00+00:00,602
2022-02-16 00:00:00+00:00,603
2022-02-17 00:00:00+00:00,604
2022-02-18 00:00:00+00:00,605
2022-02-20 00:00:00+00:00,606
2022-02-23 00:00:00+00:00,607
2022-02-24 00:00:00+00:00,609
2022-03-01 00:00:00+00:00,611
2022-03-02 00:00:00+00:00,613
2022-03-03 00:00:00+00:00,615
2022-03-08 00:00:00+00:00,616
2022-03-09 00:00:00+00:00,617
2022-03-11 00:00:00+00:00,618
2022-03-12 00:00:00+00:00,619
2022-03-15 00:00:00+00:00,620
2022-03-26 00:00:00+00:00,621
2022-03-28 00:00:00+00:00,624
2022-03-29 00:00:00+00:00,625
2022-04-05 00:00:00+00:00,626
2022-04-08 00:00:00+00:00,628
2022-04-09 00:00:00+00:00,629
2022-04-17 00:00:00+00:00,630
2022-04-19 00:00:00+00:00,631
2022-04-25 00:00:00+00:00,632
2022-05-01 00:00:00+00:00,633
2022-05-05 00:00:00+00:00,634
2022-05-06 00:00:00+00:00,635
2022-05-07 00:00:00+00:00,636
2022-05-10 00:00:00+00:00,637
2022-05-12 00:00:00+00:00,638
2022-05-24 00:00:00+00:00,640
2022-05-27 00:00:00+00:00,641
2022-05-28 00:00:00+00:00,642
2022-05-29 00:00:00+00:00,643
2022-06-01 00:00:00+00:00,644
2022-06-03 00:00:00+00:00,645
2022-06-07 00:00:00+00:00,646
2022-06-15 00:00:00+00:00,648
2022-06-16 00:00:00+00:00,649
2022-06-19 00:00:00+00:00,650
2022-06-21 00:00:00+00:00,651
2022-07-15 00:00:00+00:00,652
2022-07-18 00:00:00+00:00,653
2022-07-29 00:00:00+00:00,654
2022-08-06 00:00:00+00:00,655
2022-08-07 00:00:00+00:00,656
2022-08-09 00:00:00+00:00,658
2022-08-15 00:00:00+00:00,659
2022-08-17 00:00:00+00:00,660
2022-08-20 00:00:00+00:00,661
2022-09-04 00:00:00+00:00,662
2022-09-05 00:00:00+00:00,663
2022-09-08 00:00:00+00:00,664
2022-09-09 00:00:00+00:00,665
2022-09-15 00:00:00+00:00,667
2022-09-21 00:00:00+00:00,668
2022-09-23 00:00:00+00:00,669
2022-09-28 00:00:00+00:00,670
2022-10-11 00:00:00+00:00,671
2022-10-13 00:00:00+00:00,672
2022-10-18 00:00:00+00:00,674
2022-10-26 00:00:00+00:00,675
2022-10-28 00:00:00+00:00,676
2022-11-04 00:00:00+00:00,677
2022-11-07 00:00:00+00:00,678
2022-11-09 00:00:00+00:00,680
2022-11-11 00:00:00+00:00,682
2022-11-13 00:00:00+00:00,684
2022-11-14 00:00:00+00:00,685
2022-11-18 00:00:00+00:00,686
2022-11-23 00:00:00+00:00,687
2022-11-25 00:00:00+00:00,688
2022-11-28 00:00:00+00:00,689
2022-12-04 00:00:00+00:00,690
2022-12-06 00:00:00+00:00,691
2022-12-13 00:00:00+00:00,692
2022-12-15 00:00:00+00:00,693
2022-12-21 00:00:00+00:00,694
2022-12-24 00:00:00+00:00,695
2022-12-31 00:00:00+00:00,696
2023-01-06 00:00:00+00:00,697
2023-01-14 00:00:00+00:00,698
2023-01-23 00:00:00+00:00,699
2023-01-24 00:00:00+00:00,700
2023-01-25 00:00:00+00:00,701
2023-01-27 00:00:00+00:00,703
2023-01-29 00:00:00+00:00,704
2023-01-30 00:00:00+00:00,706
